net,length_um
_0079_,10.445
_0509_,10.42
_0778_,10.4
_1227_,10.4
_0173_,10.365
_0598_,10.36
_1165_,10.36
_1318_,10.36
regfile.regfile\[12\]\[14\],10.36
_0163_,10.325
_0255_,10.32
_1002_,10.32
_1013_,10.32
_0125_,10.3
_0755_,10.28
_1240_,10.28
_1293_,10.28
regfile.regfile\[12\]\[30\],10.28
_0402_,10.26
_1315_,10.26
_1107_,10.18
_1055_,10.16
regfile.regfile\[12\]\[26\],10.16
_0555_,10.14
_0578_,10.08
_1088_,10.08
_1104_,10.08
net11,10.08
net12,10.08
net13,10.08
net10,10.08
_0143_,10.005
_0406_,9.98
_0160_,9.945
_1167_,9.94
_1175_,9.9
_1215_,9.9
_0378_,9.86
_0385_,9.82
_0272_,9.78
_1261_,9.78
regfile.regfile\[21\]\[29\],9.78
_0044_,9.745
_0803_,9.74
_0661_,9.73
regfile.regfile\[21\]\[24\],9.7
_0043_,9.665
_0296_,9.66
_1181_,9.64
_0935_,9.62
_1125_,9.54
_0207_,9.48
_1127_,9.48
_1065_,9.44
_1087_,9.44
_1203_,9.44
_1302_,9.44
regfile.regfile\[21\]\[11\],9.44
regfile.regfile\[7\]\[30\],9.44
_0293_,9.42
_1037_,9.42
_1194_,9.4
regfile.regfile\[18\]\[22\],9.39
_0474_,9.36
_0570_,9.36
regfile.regfile\[21\]\[4\],9.36
_0128_,9.34
_1316_,9.32
_0068_,9.285
_0396_,9.28
_0514_,9.28
_1071_,9.28
_0076_,9.26
regfile.regfile\[12\]\[1\],9.26
_0684_,9.18
_0902_,9.18
_0362_,9.14
_0078_,9.065
_0674_,9.06
_1262_,9.06
_0294_,9.02
_0314_,9.02
_0705_,9.02
_1182_,9.02
_1249_,9.02
_1296_,9.02
_1311_,9.02
regfile.regfile\[21\]\[18\],9.02
_0455_,8.98
_0814_,8.98
_0055_,8.945
_0949_,8.94
_0398_,8.9
_1226_,8.9
regfile.regfile\[18\]\[16\],8.9
_0007_,8.865
regfile.regfile\[7\]\[22\],8.86
_0871_,8.8
_0987_,8.78
_1064_,8.78
regfile.regfile\[7\]\[15\],8.78
_0142_,8.765
_0764_,8.76
_0606_,8.74
_0171_,8.7
_0206_,8.7
regfile.regfile\[21\]\[16\],8.66
regfile.regfile\[7\]\[0\],8.66
_0657_,8.64
_0808_,8.6
_1083_,8.58
_0519_,8.56
_1183_,8.56
net37,8.56
_1067_,8.52
_1217_,8.52
_1237_,8.5
seg[0],8.5
net29,8.5
_0372_,8.48
_0415_,8.48
_1091_,8.46
_0233_,8.44
_0404_,8.44
_0670_,8.44
_0751_,8.44
_1207_,8.44
_0883_,8.36
_0913_,8.36
_1120_,8.36
_0908_,8.34
_0569_,8.28
_0903_,8.28
_0162_,8.265
_0250_,8.14
_0288_,8.14
_1193_,8.14
net35,8.14
_0354_,8.1
_1039_,8.1
_1247_,8.1
_1248_,8.1
regfile.regfile\[21\]\[14\],8.1
_0810_,8.06
_1320_,8.06
seg[1],8.04
seg[2],8.04
seg[3],8.04
seg[4],8.04
seg[5],8.04
seg[6],8.04
_0102_,8.025
_0127_,8.025
_0202_,8.025
_0236_,8.02
_0681_,7.98
_0692_,7.98
_0886_,7.98
_1313_,7.98
regfile.regfile\[7\]\[20\],7.98
regfile.regfile\[7\]\[9\],7.98
